Nomor Induk Mahasiswa (NIM),Timestamp,Program Studi,Saran
397,8/19/2024 13:58:37,Prodi Agribisnis,dosen ajar paham penting tanggungjawab ajar dengan penuh hadir dosen ajar harus paham karakteristik mahasiswa mahasiswa milik cara beda paham materi ajar
398,8/19/2024 16:31:58,Prodi Agribisnis,buat per kelompok sempro sesuai bimbing deadline sempro mahasiswa cepat selesai sesuai deadline 
399,8/19/2024 22:40:00,Prodi Agribisnis,tahan sudah laksana baik baik apa harus tahan semangatt
401,8/20/2024 17:08:02,Prodi Agribisnis,semangat terus prodi bimbing mahasiswa moga makin ikan pahala sabar luas
402,8/20/2024 21:59:21,Prodi Agribisnis,depan harap prodi agribisnis kuliah lebih fokus giat praktek materi telah beri mahasiswa lebih erti dapat mengiplementasikan langsung
403,8/21/2024 9:50:40,Prodi Agribisnis,saran 1 tingkat fasilitas tambah baru fasilitas laboratorium ruang praktek mahasiswa dapat alam ajar lebih dalam sesuai kembang teknologi baru 2 kerjasama industri kembang lebih banyak kerjasama usaha industri kait beri sempat magang proyek kolaboratif bisa jadi alam praktis mahasiswa 4 kurikulum bas kompetensi sesuai kurikulum kembang industri butuh pasar kerja lulus siap saing global kesan 1 program studi agribisnis beri alam ajar komprehensif dalam dukung kembang kompetensi mahasiswa holistik 2 dosen program studi agribisnis sangat kompeten selalu siap bantu mahasiswa paham materi kuliah tantang praktis lapang komentar 1 program studi sangat bantu bentuk mampu analitis praktis butuh dunia kerja ada tingkat inovasi lanjut program studi agribisnis terus hasil lulus unggul 2 rasa program studi agribisnis ada jalur tepat masih ruang kembang khusus kuat link and match kurikulum butuh industri ini
406,8/21/2024 22:43:21,Prodi Agribisnis,baik fasilitas minimal toilet tambah jumlah dosen baik sistem kurikulum
408,8/22/2024 18:50:20,Prodi Agribisnis,terimakasih banyak atas dukung motivasi bantu layan
410,8/23/2024 14:00:15,Prodi Agribisnis,baik sesuai yang butuh
411,8/23/2024 23:16:56,Prodi Agribisnis,tingkat kualitas prodi tambah dosen baru dalam era skripsi banyak dosen mampu bimbing skripsi cepat selesai
413,8/24/2024 1:58:38,Prodi Agribisnis,sesuai kurikulum tenaga didik dorong hasil prodi lebih baik depan
416,8/26/2024 17:53:05,Prodi Agribisnis,prodi sangat bantu selesai studi  kerja prodi sangat baik
417,8/26/2024 19:12:36,Prodi Agribisnis,moga sistem seminar sidang lebih integrasi
418,8/26/2024 21:35:25,Prodi Agribisnis,lama masa kuliah sempat ikut program tukar mahasiswa kampus ptn rasa kbm nya sangat dalam serius struktur buru buru semua materi jelas detail mahasiswa minta beri feedback lama kbm ukur paham itu tugas beri kelas sangat tuntut mahasiswa paham materi kuliah saat materi ingat betul saat matkul universitas islam negeriyang rupa ajar kampus sebut jadi lebih percaya diri belum pernah ajar dalam harap kuliah prodi agribisnis universitas islam negerijakarta lebih dalam tugas beri lebih tuntut mahasiswa betul betul erti pesan lain saya berterimakasih prodi agribisnis yang banyak beri sempat mahasiswa ikut banyak program exchange dan magang di luar negeri
419,8/27/2024 8:01:18,Prodi Agribisnis,saran saya prodi depan lebih perhati mahasiswa jangan perhati mahasiswa tua belum lulus fokus bidang ilmu mahasiswa mahasiswa dapat ilmu utuh
424,8/28/2024 11:11:53,Prodi Agribisnis,saran kampus tingkat kerjasama usaha industri kait magang program mitra beri sempat harga mahasiswa dapat alam nyata kembang jaring oleh paham lebih baik itu harus tingkat fasilitas kamar mandi bersih
427,8/28/2024 14:16:03,Prodi Agribisnis,timbang wajib magang durasi beberapa bulan seluruh mahasiswa bekal alam kerja
428,8/28/2024 14:34:01,Prodi Agribisnis,tingkat bidang respon server
431,9/11/2024 13:28:49,Prodi Teknik Pertambangan,ada program job fair para alumni jembatan lulus program studi teknik tambang usaha tambang beri peluang besar bisa kerja
432,9/18/2024 15:07:09,Prodi Agribisnis,alhamdulillah semua jalan baik moga agribisnis depan hasil lulus lulus baik manfaat masyarakat luas
433,10/14/2024 14:49:49,Prodi Agribisnis,saran prodi buat jadwal seminar integrasi baik
